layer,best_test_model,best_test_val_auc,best_test_human_test_auc,best_test_GCG,best_test_PAIR,best_test_PAP,best_test_GPTFuzz,best_test_PEZ,best_test_WJB,best_transfer_model,best_transfer_val_auc,best_transfer_human_test_auc,best_transfer_GCG,best_transfer_PAIR,best_transfer_PAP,best_transfer_GPTFuzz,best_transfer_PEZ,best_transfer_WJB
0,logreg_l2_C1.0_raw,0.8974858203442118,0.6374244535812831,0.5485008025682183,0.5954698703279938,0.5388798223402503,0.6368206880484585,0.5626168845315904,,logreg_l1_C0.01_raw,0.7629939614693599,0.6100411564293368,0.5779614767255217,0.6589525553012967,0.6138911448040184,0.6065864202324558,0.6059009803921569,
1,linsvm_C1.0_raw,0.9082663777500501,0.6486120813740743,0.5645650080256821,0.5904782608695652,0.5266403934041501,0.627832569697911,0.5804399782135076,,histgb_200_lr0.06_leaf31,0.8763815264053534,0.6142918332560243,0.5905008025682184,0.5734747520976354,0.6070695147809617,0.6576668996401854,0.5791056644880175,
2,mlp_128x64_a0.001,0.8724785033052257,0.6520674088592022,0.5671958266452649,0.6079592677345539,0.5639367691864295,0.647421242007714,0.5721381808278867,,logreg_l1_C0.01_bal,0.8057179494786614,0.6105900012031262,0.6100802568218299,0.6706565980167811,0.5813052227437417,0.648900623851311,0.6075377995642701,
3,logreg_l1_C0.01_bal,0.8064121764254373,0.648927284221804,0.5650818619582664,0.6158299008390542,0.5708276978343215,0.669489787994098,0.5863226579520697,,logreg_l1_C0.03_raw,0.8417560881181488,0.6447954726428778,0.5714510433386838,0.6412854309687261,0.5823074666501976,0.6591597421759725,0.5956340958605665,
4,mlp_64_a0.01,0.8853437926977789,0.6377429435831107,0.5594927768860353,0.6224723112128145,0.5481076817770092,0.624889855297559,0.5685900871459695,,logreg_en_C0.03_l1r0.3,0.869752288462744,0.6210731163397568,0.5586613162118781,0.6122202898550725,0.5625647953722003,0.6247997722036707,0.5756845315904138,
5,logreg_l2_C10.0_bal,0.9140394824310667,0.6465007543274269,0.5678170144462278,0.5827354691075515,0.5384929800724638,0.6330941471874919,0.5671922657952071,,logreg_l2_C0.01_raw,0.8691136880849588,0.6062307864333654,0.6438940609951845,0.6333755911517925,0.5402088479907774,0.7006455955061996,0.6119655773420479,
6,logreg_l1_C0.01_raw,0.7990415038661522,0.6451076977241409,0.5600224719101123,0.5794495804729214,0.5277832159914361,0.6057119929590226,0.5432211328976034,,linsvm_C0.03_bal,0.915545645073661,0.6098851508100117,0.6994606741573034,0.5862598016781084,0.6198320930088933,0.6383075768165463,0.629374183006536,
7,logreg_l2_C0.003_raw,0.8520400843700919,0.698996292183137,0.5783756019261638,0.6211420289855073,0.5402199645915678,0.6333509357769667,0.5607561002178649,,mlp_256x128_a0.0003,0.9102908946584981,0.6146081997614381,0.6677078651685392,0.6229061022120519,0.5535233577280961,0.6468012735885688,0.6239903594771242,
8,logreg_l1_C0.01_bal,0.8209972382380066,0.6959656517383286,0.5654317817014447,0.6010846681922196,0.5255100769927536,0.6043472858585074,0.577492265795207,,linsvm_C0.003_bal,0.900260811372268,0.637097087753476,0.6571043338683787,0.6542254767353165,0.5942054718379447,0.6180352566591597,0.6706779956427016,
9,mlp_256x128_a0.0003,0.9091471734959943,0.6595402231705588,0.6617463884430177,0.6617728451563691,0.5506183995182806,0.7623662343713598,0.624977559912854,,linsvm_C0.003_raw,0.8982656242776512,0.6432345578917814,0.6689213483146067,0.6946340198321893,0.5473192780385375,0.7320644042349407,0.6658739651416122,
