rank,trait,cosine,direction
1,sardonic,0.12243115928133111,jailbroken
2,wry,0.11186887782654091,jailbroken
3,impulsive,0.10714930464851978,jailbroken
4,sarcastic,0.10503136222898726,jailbroken
5,blunt,0.09896500782270444,jailbroken
6,acerbic,0.09771358278481825,jailbroken
7,abstract,0.09717069530643077,jailbroken
8,closure_seeking,0.08965441654500055,jailbroken
9,deontological,0.08829300177013513,jailbroken
10,egalitarian,0.08665602054942817,jailbroken
11,conscientious,0.0855396919499816,jailbroken
12,regulatory,0.08418397461193534,jailbroken
13,descriptive,0.08155264625247358,jailbroken
14,ritualistic,0.0809881171246174,jailbroken
15,sassy,0.08096994204163188,jailbroken
16,savage,0.07830030328261202,jailbroken
17,reactive,0.07410313142435343,jailbroken
18,technical,0.07264763227333343,jailbroken
19,cruel,0.07152991819164833,jailbroken
20,traditional,0.06792978372060227,jailbroken
21,irreverent,0.06777681729940184,jailbroken
22,detached,0.06102078046383054,jailbroken
23,cynical,0.06016744390615417,jailbroken
24,edgy,0.0590229290662071,jailbroken
25,systems_thinker,0.057381319507989026,jailbroken
26,hostile,0.057189635609599256,jailbroken
27,transparent,0.055523900158009676,jailbroken
28,passive_aggressive,0.05496641382005517,jailbroken
29,stoic,0.054502932776828064,jailbroken
30,meditative,0.04957086990295501,jailbroken
31,deferential,0.048886367788720804,jailbroken
32,confident,0.04645572220393279,jailbroken
33,fatalistic,0.04611009008591631,jailbroken
34,bitter,0.044360302874331924,jailbroken
35,nonchalant,0.04314637713147,jailbroken
36,pluralist,0.04175582527939582,jailbroken
37,callous,0.03989882241671132,jailbroken
38,ironic,0.038713395271561576,jailbroken
39,quantitative,0.03794585777672143,jailbroken
40,introverted,0.037641023580333034,jailbroken
41,melancholic,0.036275608191031816,jailbroken
42,conceptual,0.0352798082589873,jailbroken
43,pessimistic,0.03521303962763403,jailbroken
44,contrarian,0.03418721280110387,jailbroken
45,perfectionist,0.03398193339457403,jailbroken
46,visceral,0.03335890342691391,jailbroken
47,universalist,0.03316834260303292,jailbroken
48,petty,0.03045500873510173,jailbroken
49,misanthropic,0.03025002627849606,jailbroken
50,accommodating,0.02947067658654684,jailbroken
51,witty,0.028380847463753127,jailbroken
52,independent,0.026772388098551467,jailbroken
