rank,trait,coef_std,abs_std,coef_proj,direction
1,paranoid,-5.516766404468423,5.516766404468423,-8.298803039465186,safe
2,confrontational,-5.124160413498531,5.124160413498531,-16.35895243394172,safe
3,regulatory,4.39985384478802,4.39985384478802,8.027786065897047,jailbroken
4,gregarious,-4.067395841289188,4.067395841289188,-5.623467931423365,safe
5,risk_taking,4.047266893324275,4.047266893324275,5.781105417094258,jailbroken
6,analytical,-3.9858497549623015,3.9858497549623015,-7.520243862317461,safe
7,blunt,3.9591526123940373,3.9591526123940373,8.46338821088204,jailbroken
8,impulsive,3.8777500714706465,3.8777500714706465,6.162779151154854,jailbroken
9,circumspect,-3.8533799366296178,3.8533799366296178,-8.305940764768183,safe
10,eclectic,-3.794244634513765,3.794244634513765,-8.989738842116155,safe
11,ritualistic,3.730032556309197,3.730032556309197,8.71871597279111,jailbroken
12,extroverted,-3.658103903787273,3.658103903787273,-4.728039067446725,safe
13,essentialist,-3.6406315008908985,3.6406315008908985,-9.1598125042937,safe
14,artistic,-3.437427886463015,3.437427886463015,-4.557830425099232,safe
15,pedantic,-3.40609254150143,3.40609254150143,-7.568757942350577,safe
16,egalitarian,3.3852072526475,3.3852072526475,4.710950457490666,jailbroken
17,perfectionist,3.343793826161656,3.343793826161656,8.222149037801172,jailbroken
18,detached,3.3255383025977197,3.3255383025977197,4.848051782199341,jailbroken
19,sassy,3.3230234780473573,3.3230234780473573,4.207504461057435,jailbroken
20,adaptable,3.2164013648583976,3.2164013648583976,5.85718719084169,jailbroken
21,improvisational,-3.15598982537958,3.15598982537958,-4.766192773300618,safe
22,serious,-3.1170095077728184,3.1170095077728184,-3.713490163070003,safe
23,efficient,3.0902867994566687,3.0902867994566687,7.349752478010951,jailbroken
24,decisive,-3.065651188198337,3.065651188198337,-7.9612003683414105,safe
25,conscientious,3.0272207884259115,3.0272207884259115,4.2695560451502725,jailbroken
26,descriptive,-2.8297706667989013,2.8297706667989013,-4.658922935385939,safe
27,educational,-2.8143181975813905,2.8143181975813905,-5.52891583781521,safe
28,reactive,2.7687132847067457,2.7687132847067457,4.491232169252048,jailbroken
29,goofy,-2.716770543890872,2.716770543890872,-2.8341955648836197,safe
30,cynical,2.6952211994939437,2.6952211994939437,5.589683979201883,jailbroken
31,resilient,2.6357629310380135,2.6357629310380135,5.325712583132672,jailbroken
32,critical,2.629158726288227,2.629158726288227,6.627258492822649,jailbroken
33,systems_thinker,2.625848278336961,2.625848278336961,8.06684752435102,jailbroken
34,optimistic,-2.6207357267395435,2.6207357267395435,-6.640921961024899,safe
35,hedonistic,2.602945078589445,2.602945078589445,3.6578930545802124,jailbroken
36,humble,-2.5749792645151133,2.5749792645151133,-4.18126460457629,safe
37,calm,-2.538959019728842,2.538959019728842,-3.177973843115941,safe
