method,test,HarmBench_auc,HarmBench_dAUC,HarmBench_p_adj,HarmBench_sig,GCG_auc,GCG_dAUC,GCG_p_adj,GCG_sig,PAIR_auc,PAIR_dAUC,PAIR_p_adj,PAIR_sig,PAP_auc,PAP_dAUC,PAP_p_adj,PAP_sig,GPTFuzz_auc,GPTFuzz_dAUC,GPTFuzz_p_adj,GPTFuzz_sig,PEZ_auc,PEZ_dAUC,PEZ_p_adj,PEZ_sig
all_traits(linsvm_C0.3_bal),reference,0.8639,0.0,,,0.8256,0.0,,,0.7945,0.0,,,0.6267,0.0,,,0.7013,0.0,,,0.8481,0.0,,
raw,welch,0.8145,+0.0494,4.698e-03,**,0.7072,+0.1184,4.226e-24,***,0.7591,+0.0354,2.977e-10,***,0.6505,-0.0238,1.000e+00,,0.6183,+0.0830,1.064e-11,***,0.8119,+0.0362,4.849e-11,***
pca,welch,0.8779,-0.0139,1.000e+00,,0.6872,+0.1384,2.537e-38,***,0.7012,+0.0933,7.642e-37,***,0.6025,+0.0243,3.027e-04,***,0.6208,+0.0805,6.105e-30,***,0.7912,+0.0569,3.652e-35,***
top_traits,welch,0.7699,+0.0941,8.125e-07,***,0.7392,+0.0865,2.877e-20,***,0.7562,+0.0383,1.173e-09,***,0.5346,+0.0921,7.321e-22,***,0.5992,+0.1021,8.302e-18,***,0.8465,+0.0016,4.299e-01,
jbshield,welch,0.8470,+0.0170,2.070e-01,,0.7316,+0.0940,6.305e-26,***,0.7257,+0.0688,3.165e-27,***,0.5861,+0.0406,1.203e-08,***,0.6169,+0.0844,1.337e-15,***,0.8184,+0.0297,7.163e-23,***
contrastive_mcd,welch,0.9184,-0.0545,1.000e+00,,0.7892,+0.0364,2.629e-08,***,0.8123,-0.0179,1.000e+00,,0.5527,+0.0740,8.217e-13,***,0.6306,+0.0707,1.170e-12,***,0.8437,+0.0044,1.047e-01,
contrastive_kcd,welch,0.8493,+0.0146,2.619e-01,,0.6760,+0.1497,3.329e-38,***,0.7501,+0.0444,1.070e-16,***,0.5336,+0.0931,1.139e-21,***,0.5483,+0.1530,9.819e-29,***,0.8312,+0.0169,1.547e-09,***
perplexity,welch,0.6425,+0.2214,4.774e-16,***,0.5056,+0.3200,1.139e-21,***,0.5017,+0.2928,1.003e-54,***,0.5030,+0.1237,1.613e-15,***,0.5068,+0.1945,1.671e-10,***,0.5074,+0.3407,2.719e-17,***
smoothllm,welch,0.5038,+0.3602,3.654e-23,***,0.5027,+0.3229,1.312e-49,***,0.5459,+0.2486,2.980e-47,***,0.5171,+0.1096,1.908e-25,***,0.5049,+0.1964,1.424e-45,***,0.5508,+0.2973,7.323e-43,***
harmbench_cls,welch,0.9962,-0.1323,1.000e+00,,0.9449,-0.1193,1.000e+00,,0.9037,-0.1092,1.000e+00,,0.8780,-0.2513,1.000e+00,,0.9286,-0.2273,1.000e+00,,0.9372,-0.0891,1.000e+00,
