pc,var_pct,coef_in_w_mean,coef_in_w_std,coef_sq,standalone_auc_mean,standalone_auc_std,direction,pole,rank,persona,cos_sim
1,17.6544,0.672552,0.055773,0.452326,0.796281,0.093174,jailbreak,positive,1,edgy,0.3502
1,17.6544,0.672552,0.055773,0.452326,0.796281,0.093174,jailbreak,positive,2,sycophantic,0.3200
1,17.6544,0.672552,0.055773,0.452326,0.796281,0.093174,jailbreak,positive,3,goofy,0.3190
1,17.6544,0.672552,0.055773,0.452326,0.796281,0.093174,jailbreak,positive,4,grandiose,0.3154
1,17.6544,0.672552,0.055773,0.452326,0.796281,0.093174,jailbreak,positive,5,mischievous,0.3149
1,17.6544,0.672552,0.055773,0.452326,0.796281,0.093174,jailbreak,negative,1,diplomatic,-0.2760
1,17.6544,0.672552,0.055773,0.452326,0.796281,0.093174,jailbreak,negative,2,calm,-0.2499
1,17.6544,0.672552,0.055773,0.452326,0.796281,0.093174,jailbreak,negative,3,methodical,-0.2377
1,17.6544,0.672552,0.055773,0.452326,0.796281,0.093174,jailbreak,negative,4,solemn,-0.2231
1,17.6544,0.672552,0.055773,0.452326,0.796281,0.093174,jailbreak,negative,5,reserved,-0.2223
2,13.2165,0.599174,0.060513,0.359010,0.736952,0.117836,jailbreak,positive,1,principled,0.2873
2,13.2165,0.599174,0.060513,0.359010,0.736952,0.117836,jailbreak,positive,2,descriptive,0.2183
2,13.2165,0.599174,0.060513,0.359010,0.736952,0.117836,jailbreak,positive,3,conciliatory,0.1916
2,13.2165,0.599174,0.060513,0.359010,0.736952,0.117836,jailbreak,positive,4,conscientious,0.1801
2,13.2165,0.599174,0.060513,0.359010,0.736952,0.117836,jailbreak,positive,5,egalitarian,0.1761
2,13.2165,0.599174,0.060513,0.359010,0.736952,0.117836,jailbreak,negative,1,evil,-0.2512
2,13.2165,0.599174,0.060513,0.359010,0.736952,0.117836,jailbreak,negative,2,condescending,-0.2428
2,13.2165,0.599174,0.060513,0.359010,0.736952,0.117836,jailbreak,negative,3,misanthropic,-0.2285
2,13.2165,0.599174,0.060513,0.359010,0.736952,0.117836,jailbreak,negative,4,bitter,-0.2192
2,13.2165,0.599174,0.060513,0.359010,0.736952,0.117836,jailbreak,negative,5,elitist,-0.2168
4,7.3485,-0.389027,0.111245,0.151342,0.645984,0.095993,refusal,positive,1,ritualistic,0.1557
4,7.3485,-0.389027,0.111245,0.151342,0.645984,0.095993,refusal,positive,2,formal,0.1361
4,7.3485,-0.389027,0.111245,0.151342,0.645984,0.095993,refusal,positive,3,conscientious,0.1314
4,7.3485,-0.389027,0.111245,0.151342,0.645984,0.095993,refusal,positive,4,reverent,0.1274
4,7.3485,-0.389027,0.111245,0.151342,0.645984,0.095993,refusal,positive,5,technical,0.1242
4,7.3485,-0.389027,0.111245,0.151342,0.645984,0.095993,refusal,negative,1,casual,-0.1389
4,7.3485,-0.389027,0.111245,0.151342,0.645984,0.095993,refusal,negative,2,hostile,-0.1358
4,7.3485,-0.389027,0.111245,0.151342,0.645984,0.095993,refusal,negative,3,evil,-0.1183
4,7.3485,-0.389027,0.111245,0.151342,0.645984,0.095993,refusal,negative,4,improvisational,-0.1175
4,7.3485,-0.389027,0.111245,0.151342,0.645984,0.095993,refusal,negative,5,sassy,-0.1140
3,9.2107,0.118138,0.064941,0.013957,0.662069,0.104446,jailbreak,positive,1,introspective,0.2670
3,9.2107,0.118138,0.064941,0.013957,0.662069,0.104446,jailbreak,positive,2,witty,0.2600
3,9.2107,0.118138,0.064941,0.013957,0.662069,0.104446,jailbreak,positive,3,entertaining,0.2509
3,9.2107,0.118138,0.064941,0.013957,0.662069,0.104446,jailbreak,positive,4,adaptable,0.2505
3,9.2107,0.118138,0.064941,0.013957,0.662069,0.104446,jailbreak,positive,5,gregarious,0.2475
3,9.2107,0.118138,0.064941,0.013957,0.662069,0.104446,jailbreak,negative,1,reserved,-0.2632
3,9.2107,0.118138,0.064941,0.013957,0.662069,0.104446,jailbreak,negative,2,dispassionate,-0.2469
3,9.2107,0.118138,0.064941,0.013957,0.662069,0.104446,jailbreak,negative,3,detached,-0.2180
3,9.2107,0.118138,0.064941,0.013957,0.662069,0.104446,jailbreak,negative,4,solemn,-0.2177
3,9.2107,0.118138,0.064941,0.013957,0.662069,0.104446,jailbreak,negative,5,serious,-0.2163
