rank,trait,mean_auc,std_auc,n_seeds,raw_auc_mean,direction
1,egalitarian,0.874500,0.053969,101,0.874500,high_score_predicts_jailbreak
2,universalist,0.864025,0.067541,101,0.135975,high_score_predicts_refusal
3,principled,0.851500,0.082067,101,0.851500,high_score_predicts_jailbreak
4,progressive,0.849880,0.072849,101,0.849880,high_score_predicts_jailbreak
5,deontological,0.846592,0.072276,101,0.846592,high_score_predicts_jailbreak
6,essentialist,0.817397,0.097873,101,0.817397,high_score_predicts_jailbreak
7,avoidant,0.815360,0.073857,101,0.184640,high_score_predicts_refusal
8,existentialist,0.811708,0.074487,101,0.811708,high_score_predicts_jailbreak
9,regulatory,0.807378,0.078533,101,0.192622,high_score_predicts_refusal
10,utilitarian,0.800940,0.114372,101,0.800940,high_score_predicts_jailbreak
11,independent,0.787155,0.090498,101,0.787155,high_score_predicts_jailbreak
12,pedantic,0.786865,0.088727,101,0.213135,high_score_predicts_refusal
13,naive,0.786837,0.085391,101,0.786837,high_score_predicts_jailbreak
14,idealistic,0.785765,0.083988,101,0.785765,high_score_predicts_jailbreak
15,humble,0.785341,0.105191,101,0.216258,high_score_predicts_refusal
16,conceptual,0.783102,0.083313,101,0.783102,high_score_predicts_jailbreak
17,cautious,0.782397,0.101325,101,0.218301,high_score_predicts_refusal
18,materialist,0.774897,0.078412,101,0.225103,high_score_predicts_refusal
19,paradoxical,0.766639,0.087651,101,0.766639,high_score_predicts_jailbreak
20,risk_taking,0.759018,0.093320,101,0.759018,high_score_predicts_jailbreak
21,challenging,0.755692,0.102780,101,0.244803,high_score_predicts_refusal
22,accommodating,0.751875,0.105727,101,0.751592,high_score_predicts_jailbreak
23,confident,0.749015,0.115946,101,0.744533,high_score_predicts_jailbreak
24,submissive,0.745533,0.107261,101,0.254468,high_score_predicts_refusal
25,sycophantic,0.745126,0.092761,101,0.745126,high_score_predicts_jailbreak
26,adventurous,0.742989,0.095187,101,0.742989,high_score_predicts_jailbreak
27,speculative,0.732647,0.093846,101,0.732647,high_score_predicts_jailbreak
28,perfectionist,0.729480,0.096828,101,0.276618,high_score_predicts_refusal
29,collaborative,0.722390,0.093271,101,0.283329,high_score_predicts_refusal
30,extroverted,0.720637,0.096445,101,0.718087,high_score_predicts_jailbreak
31,pluralist,0.719872,0.109327,101,0.281181,high_score_predicts_refusal
