method,HarmBench_auc,HarmBench_p_adj,HarmBench_sig,GCG_auc,GCG_p_adj,GCG_sig,PAIR_auc,PAIR_p_adj,PAIR_sig,PAP_auc,PAP_p_adj,PAP_sig,GPTFuzz_auc,GPTFuzz_p_adj,GPTFuzz_sig,PEZ_auc,PEZ_p_adj,PEZ_sig
all_traits,0.8646,9.3066e-35,***,0.8202,9.8095e-50,***,0.7975,7.4867e-53,***,0.5842,5.8114e-17,***,0.6407,3.7505e-24,***,0.8547,1.8210e-67,***
top_traits,0.7699,6.0746e-25,***,0.7392,1.8696e-40,***,0.7562,6.3930e-46,***,0.5346,5.9542e-13,***,0.5992,7.4301e-17,***,0.8465,3.6153e-58,***
raw,0.8145,3.3218e-28,***,0.7072,3.7274e-33,***,0.7591,4.5551e-50,***,0.6505,2.4842e-24,***,0.6183,3.5616e-17,***,0.8119,2.0771e-51,***
pca,0.8779,3.4533e-42,***,0.6872,6.2303e-51,***,0.7012,6.2004e-61,***,0.6025,1.8191e-37,***,0.6208,1.2888e-42,***,0.7912,1.4617e-63,***
jbshield,0.8470,2.1809e-32,***,0.7316,1.0071e-68,***,0.7257,1.9479e-72,***,0.4139,1.0000e+00,,0.6169,6.0809e-21,***,0.8184,3.5137e-77,***
contrastive_mcd,0.9184,3.6785e-51,***,0.7892,4.4543e-53,***,0.8123,5.3299e-55,***,0.5527,2.3625e-10,***,0.6306,5.0081e-23,***,0.8437,1.9489e-64,***
contrastive_kcd,0.8493,9.2010e-31,***,0.6760,7.1765e-36,***,0.7501,2.6548e-55,***,0.4664,1.0000e+00,,0.5483,2.5864e-08,***,0.8312,9.9592e-71,***
perplexity,0.3575,1.0000e+00,,0.5056,4.5613e-01,,0.5017,4.5613e-01,,0.5030,4.5613e-01,,0.5068,4.5613e-01,,0.5074,4.5613e-01,
smoothllm,0.5038,4.9889e-01,,0.4973,1.0000e+00,,0.5459,1.7228e-09,***,0.4829,1.0000e+00,,0.5049,1.7228e-09,***,0.5508,1.7228e-09,***
harmbench_cls,0.9962,3.6850e-100,***,0.9449,0.0000e+00,***,0.9037,0.0000e+00,***,0.8780,0.0000e+00,***,0.9286,0.0000e+00,***,0.9372,0.0000e+00,***
fjd,0.5574,9.0053e-03,**,0.5550,9.7926e-15,***,0.5580,9.7926e-15,***,0.4875,1.0000e+00,,0.3147,1.0000e+00,,0.7434,9.7926e-15,***
mahalanobis,0.4704,1.0000e+00,,0.4569,1.0000e+00,,0.6385,1.8966e-44,***,0.5298,3.4329e-10,***,0.7335,6.9053e-50,***,0.4220,1.0000e+00,
jlt_svm,0.9068,1.6047e-18,***,0.7152,1.2900e-21,***,0.7974,6.4635e-21,***,0.5323,9.7325e-03,**,0.6492,3.3125e-11,***,0.8287,5.5302e-24,***
jlt_rf,0.8945,6.2348e-18,***,0.7014,3.5928e-21,***,0.7328,8.7489e-22,***,0.4583,1.0000e+00,,0.4931,7.0534e-01,,0.8206,1.6380e-23,***
jlt_logreg,0.9009,6.1349e-17,***,0.7596,2.2195e-20,***,0.8136,1.3927e-20,***,0.5652,1.7253e-04,***,0.6775,3.9064e-13,***,0.8390,4.7298e-28,***
llama_guard_input,0.6927,,,0.6056,,,0.5748,,,0.5748,,,0.6626,,,0.6457,,
llama_guard_i/o,0.8914,,,0.7748,,,0.7702,,,0.7641,,,0.7571,,,0.7851,,
verbalized_direct,0.5755,,,0.5286,,,0.5283,,,0.6203,,,0.5736,,,0.5083,,
verbalized_cot,0.5751,,,0.5071,,,0.5022,,,0.5881,,,0.5092,,,0.5000,,
gradsafe,0.9517,,,0.5794,,,0.6152,,,0.6039,,,0.5239,,,0.7565,,
wildguard_harm,0.9518,,,0.8698,,,0.7775,,,0.7196,,,0.6896,,,0.8333,,
wildguard_comply,0.9139,,,0.7416,,,0.7934,,,0.6342,,,0.5368,,,0.8613,,
