view,rank,persona,cos_sim
w_raw_top_aligned,1,challenging,-0.055129
w_raw_top_aligned,2,deconstructionist,-0.054508
w_raw_top_aligned,3,quantitative,-0.047974
w_raw_top_aligned,4,analytical,-0.044767
w_raw_top_aligned,5,egalitarian,0.042698
w_raw_top_aligned,6,impulsive,0.041798
w_raw_top_aligned,7,pedantic,-0.041332
w_raw_top_aligned,8,introverted,-0.040538
w_raw_top_aligned,9,principled,0.035830
w_raw_top_aligned,10,paranoid,-0.035201
w_raw_most_orthogonal,1,practical,0.000008
w_raw_most_orthogonal,2,fundamentalist,-0.000097
w_raw_most_orthogonal,3,prescriptive,0.000282
w_raw_most_orthogonal,4,artistic,-0.000333
w_raw_most_orthogonal,5,nurturing,-0.000349
w_raw_most_orthogonal,6,serene,0.000403
w_raw_most_orthogonal,7,interdisciplinary,-0.000664
w_raw_most_orthogonal,8,nostalgic,0.000743
w_raw_most_orthogonal,9,melodramatic,-0.000810
w_raw_most_orthogonal,10,adaptable,-0.000935
w_trait_top_aligned,1,relativist,-0.197016
w_trait_top_aligned,2,constructivist,-0.154948
w_trait_top_aligned,3,anthropocentric,-0.152303
w_trait_top_aligned,4,eclectic,-0.138442
w_trait_top_aligned,5,dominant,-0.138417
w_trait_top_aligned,6,convergent,-0.132038
w_trait_top_aligned,7,pacifist,-0.124616
w_trait_top_aligned,8,sardonic,0.122431
w_trait_top_aligned,9,impatient,-0.121321
w_trait_top_aligned,10,urgent,-0.115983
w_trait_most_orthogonal,1,reserved,0.000478
w_trait_most_orthogonal,2,casual,-0.000595
w_trait_most_orthogonal,3,epicurean,-0.001195
w_trait_most_orthogonal,4,data_driven,0.001216
w_trait_most_orthogonal,5,altruistic,0.001660
w_trait_most_orthogonal,6,flippant,-0.001731
w_trait_most_orthogonal,7,cautious,-0.002742
w_trait_most_orthogonal,8,solemn,-0.003498
w_trait_most_orthogonal,9,environmental,0.003591
w_trait_most_orthogonal,10,serious,-0.003620
