persona,w_raw_align,w_trait_align
absolutist,-0.001878,0.014924
abstract,0.019417,0.097171
accessible,0.021738,0.016704
accommodating,0.003050,0.029471
acerbic,0.011415,0.097714
adaptable,-0.000935,0.025508
adventurous,0.018589,-0.052285
agreeable,-0.007761,-0.053201
altruistic,0.012471,0.001660
analytical,-0.044767,-0.066133
animated,0.020087,0.020350
anthropocentric,-0.016905,-0.152303
anxious,-0.017554,0.006313
arrogant,0.005272,0.007530
artistic,-0.000333,-0.047059
ascetic,-0.023662,0.005691
assertive,-0.014268,-0.024784
avoidant,-0.003687,-0.068681
benevolent,0.014723,-0.024768
big_picture,0.018540,-0.018718
bitter,-0.011842,0.044360
blunt,0.001651,0.098965
bombastic,0.010214,-0.017448
callous,0.005948,0.039899
calm,0.007367,-0.026659
casual,0.021501,-0.000595
cautious,-0.031834,-0.002742
challenging,-0.055129,-0.102755
chaotic,-0.008300,-0.052719
charismatic,-0.002374,-0.012258
chill,0.011978,0.025678
circumspect,-0.029461,-0.099515
closure_seeking,0.003669,0.089654
collaborative,0.007194,-0.084467
collectivistic,0.012250,-0.055402
competitive,-0.017466,-0.063742
conceptual,0.030226,0.035280
conciliatory,0.004569,-0.027606
concise,0.011023,-0.030359
condescending,-0.007383,0.015193
confident,0.030113,0.046456
confrontational,-0.015569,-0.054620
conscientious,-0.007769,0.085540
constructivist,-0.005266,-0.154948
contemporary,-0.002560,-0.053942
contrarian,-0.018044,0.034187
convergent,-0.020089,-0.132038
cosmopolitan,0.029614,-0.013111
creative,0.004509,-0.105462
critical,-0.016186,0.023956
cruel,0.002438,0.071530
cryptic,-0.003078,-0.010669
curious,-0.016321,-0.008212
cynical,-0.033302,0.060167
data_driven,-0.018459,0.001216
decisive,-0.005978,0.026044
deconstructionist,-0.054508,-0.103555
deferential,0.025652,0.048886
deontological,0.030081,0.088293
descriptive,0.027287,0.081553
detached,0.015113,0.061021
deterministic,0.010112,-0.102368
diplomatic,0.001148,-0.007016
disorganized,-0.012591,-0.015866
dispassionate,0.009216,0.007842
divergent,-0.005394,-0.004320
dogmatic,0.012036,-0.056392
dominant,-0.018792,-0.138417
dramatic,0.013184,-0.009886
earnest,-0.008977,-0.025517
eclectic,-0.020581,-0.138442
edgy,0.010812,0.059023
educational,-0.024679,-0.043306
efficient,0.009020,-0.016211
effusive,0.017797,-0.047742
egalitarian,0.042698,0.086656
elitist,-0.024868,-0.090003
eloquent,-0.001675,-0.028939
emotional,-0.004410,-0.037912
empathetic,0.010866,-0.012995
enigmatic,-0.008160,-0.060582
entertaining,0.015655,-0.017786
environmental,-0.009033,0.003591
epicurean,0.004796,-0.001195
erudite,-0.030456,0.015768
esoteric,-0.010543,-0.027783
essentialist,0.022660,-0.024532
ethereal,0.008064,-0.039130
evil,-0.023585,-0.014284
existentialist,-0.007003,-0.090646
experiential,-0.027486,-0.054075
exploratory,-0.015677,-0.097853
extroverted,0.007030,-0.091636
fatalistic,0.002314,0.046110
flexible,-0.002691,-0.025858
flippant,0.014544,-0.001731
flirty,-0.014821,-0.045191
forgiving,0.008772,-0.035045
formal,-0.022087,0.007659
fundamentalist,-0.000097,-0.017776
futuristic,0.029276,-0.081960
generous,0.000972,-0.026677
goofy,0.019203,-0.011643
grandiose,0.005194,0.006347
gregarious,-0.002378,-0.082392
grounded,-0.030701,0.009281
hedonistic,0.024286,-0.042237
historical,-0.022271,-0.089331
hostile,-0.004381,0.057190
humanistic,-0.013081,-0.044996
humble,-0.023255,-0.105465
iconoclastic,-0.013787,0.014579
idealistic,0.029977,-0.061927
impatient,-0.009651,-0.121321
improvisational,-0.017850,-0.027513
impulsive,0.041798,0.107149
inclusive,-0.004212,-0.067005
independent,-0.001091,0.026772
individualistic,-0.001628,-0.084129
innovative,0.018689,-0.105073
inquisitive,-0.006438,0.013614
inspirational,0.008079,-0.038951
interdisciplinary,-0.000664,0.009188
introspective,-0.023186,-0.069833
introverted,-0.040538,0.037641
ironic,0.013150,0.038713
irreverent,0.016852,0.067777
judgmental,-0.017465,-0.007407
libertarian,-0.024577,-0.074139
literal,0.024801,-0.043979
manic,0.021121,-0.026407
manipulative,-0.017931,-0.067873
materialist,-0.017837,-0.076890
meditative,-0.008901,0.049571
melancholic,-0.023283,0.036276
melodramatic,-0.000810,-0.025668
mercurial,0.003386,-0.016966
metaphorical,0.025260,-0.007787
methodical,-0.016183,0.008397
militant,-0.009709,-0.054179
misanthropic,-0.004410,0.030250
mischievous,0.011868,-0.004200
moderate,-0.007157,0.018803
mystical,0.023844,-0.034332
naive,0.016865,0.013296
narrative,0.015843,-0.070270
neurotic,-0.009838,0.014529
nihilistic,-0.004514,-0.021675
nonchalant,0.015266,0.043146
nostalgic,0.000743,0.008238
nurturing,-0.000349,-0.025902
obsessive,-0.001853,-0.025533
open_ended,-0.007199,-0.063055
optimistic,0.025011,-0.074262
pacifist,-0.020564,-0.124616
paradoxical,0.016655,-0.015200
paranoid,-0.035201,-0.093560
passionate,-0.006895,-0.055652
passive_aggressive,0.026502,0.054966
patient,-0.013390,-0.043880
pedantic,-0.041332,-0.048876
pensive,-0.034173,-0.085017
perfectionist,-0.022992,0.033982
pessimistic,-0.025939,0.035213
petty,-0.004487,0.030455
philosophical,-0.022021,-0.086694
playful,0.016087,-0.056768
pluralist,0.007242,0.041756
poetic,0.004768,-0.043832
practical,0.000008,-0.099799
prescriptive,0.000282,0.005370
principled,0.035830,0.016948
proactive,-0.010353,-0.015560
problem_solving,-0.020251,-0.018055
progressive,0.017280,-0.073519
provocative,-0.030016,-0.086985
qualitative,0.012816,-0.047852
quantitative,-0.047974,0.037946
radical,-0.007784,-0.070164
rationalist,-0.002682,-0.012143
reactive,0.010626,0.074103
rebellious,0.001614,-0.060717
reductionist,-0.013370,-0.112978
regulatory,-0.012658,0.084184
relativist,-0.005602,-0.197016
reserved,0.013561,0.000478
resilient,0.003909,-0.024884
reverent,0.003991,-0.032265
rhetorical,-0.003845,-0.102621
risk_taking,0.010477,0.004581
ritualistic,0.011693,0.080988
romantic,0.025377,-0.097624
sarcastic,0.016776,0.105031
sardonic,0.028122,0.122431
sassy,0.003323,0.080970
savage,0.013715,0.078300
secular,0.002972,0.018112
serene,0.000403,-0.019401
serious,-0.020334,-0.003620
skeptical,-0.032265,0.007334
socratic,-0.010666,-0.050740
solemn,-0.026777,-0.003498
speculative,0.005445,-0.062520
spiritual,0.030752,-0.046883
spontaneous,0.011472,0.022369
stoic,0.021717,0.054503
strategic,-0.022222,0.012617
stream_of_consciousness,0.008823,0.020646
submissive,0.018254,-0.072711
subversive,-0.017314,-0.037973
supportive,0.001658,-0.025747
sycophantic,0.025061,-0.027699
systems_thinker,-0.002207,0.057381
technical,-0.018636,0.072648
temperamental,-0.017037,0.025225
theatrical,0.010685,-0.006081
theoretical,0.010241,0.021865
traditional,-0.008368,0.067930
transparent,0.008104,0.055524
understated,-0.014318,-0.084798
universalist,-0.029553,0.033168
urgent,0.008395,-0.115983
utilitarian,0.014342,-0.020892
verbose,-0.018357,0.026045
visceral,0.012145,0.033359
whimsical,0.016951,-0.055547
witty,-0.002001,0.028381
wry,0.017805,0.111869
zealous,-0.001165,-0.078361
